EXIF	0x0100	ImageWidth	Image width in pixels
EXIF	0x0101	ImageLength	Image height in pixels
EXIF	0x0102	BitsPerSample	Bits per component
EXIF	0x0103	Compression	Image compression scheme
EXIF	0x0106	PhotometricInterpretation	Pixel color interpretation
EXIF	0x010E	ImageDescription	Image description
EXIF	0x010F	Make	Camera manufacturer
EXIF	0x0110	Model	Camera model
EXIF	0x0112	Orientation	Image orientation
EXIF	0x0115	SamplesPerPixel	Number of components per pixel
EXIF	0x0116	RowsPerStrip	Rows per image strip
EXIF	0x0117	StripByteCounts	Byte counts for image strips
EXIF	0x011A	XResolution	Horizontal resolution
EXIF	0x011B	YResolution	Vertical resolution
EXIF	0x0128	ResolutionUnit	Resolution unit
EXIF	0x011C	PlanarConfiguration	Planar or chunky component layout
EXIF	0x012D	TransferFunction	Transfer function table
EXIF	0x0131	Software	Software used to create the file
EXIF	0x0132	ModifyDate	File modification date from EXIF
EXIF	0x013B	Artist	Person who created the image
EXIF	0x013E	WhitePoint	Chromaticity of the white point
EXIF	0x013F	PrimaryChromaticities	Chromaticities of the primary colors
EXIF	0x0152	ExtraSamples	Additional image components
EXIF	0x014A	SubIFDs	Offsets to sub-image directories
EXIF	0x0201	JPEGInterchangeFormat	Thumbnail offset
EXIF	0x0202	JPEGInterchangeFormatLength	Thumbnail length
EXIF	0x8298	Copyright	Copyright notice
EXIF	0x829A	ExposureTime	Exposure time
EXIF	0x829D	FNumber	F-number
EXIF	0x8769	ExifIFDPointer	Offset to the EXIF IFD
EXIF	0x8825	GPSInfoIFDPointer	Offset to the GPS IFD
EXIF	0x8827	ISO	ISO speed rating
EXIF	0x8830	SensitivityType	Sensitivity type
EXIF	0x8831	StandardOutputSensitivity	Standard output sensitivity
EXIF	0x8832	RecommendedExposureIndex	Recommended exposure index
EXIF	0x8833	ISOSpeed	ISO speed value
EXIF	0x8834	ISOSpeedLatitudeyyy	ISO speed latitude yyy
EXIF	0x8835	ISOSpeedLatitudezzz	ISO speed latitude zzz
EXIF	0x8822	ExposureProgram	Exposure program
EXIF	0x9000	ExifVersion	EXIF specification version
EXIF	0x9003	DateTimeOriginal	Original capture date and time
EXIF	0x9004	CreateDate	Digitized date and time
EXIF	0x9201	ShutterSpeedValue	Shutter speed value
EXIF	0x9202	ApertureValue	Aperture value
EXIF	0x9203	BrightnessValue	Brightness value
EXIF	0x9204	ExposureCompensation	Exposure bias value
EXIF	0x9205	MaxApertureValue	Maximum lens aperture
EXIF	0x9206	SubjectDistance	Distance to the subject
EXIF	0x9207	MeteringMode	Metering mode
EXIF	0x9208	LightSource	Light source
EXIF	0x9209	Flash	Flash status
EXIF	0x920A	FocalLength	Lens focal length
EXIF	0x9214	SubjectArea	Subject location and area
EXIF	0x927C	MakerNote	Manufacturer-specific metadata block
EXIF	0x9286	UserComment	User comment with an EXIF character-code prefix
EXIF	0x9291	SubSecTimeOriginal	Sub-second capture time
EXIF	0x9292	SubSecTimeDigitized	Sub-second digitized time
EXIF	0x9101	ComponentsConfiguration	Component configuration
EXIF	0x9102	CompressedBitsPerPixel	Compressed bits per pixel
EXIF	0xA002	PixelXDimension	Image width
EXIF	0xA003	PixelYDimension	Image height
EXIF	0xA001	ColorSpace	Color space information
EXIF	0xA20E	FocalPlaneXResolution	Focal-plane horizontal resolution
EXIF	0xA20F	FocalPlaneYResolution	Focal-plane vertical resolution
EXIF	0xA210	FocalPlaneResolutionUnit	Focal-plane resolution unit
EXIF	0xA214	SubjectLocation	Subject location
EXIF	0xA215	ExposureIndex	Exposure index
EXIF	0xA217	SensingMethod	Sensing method
EXIF	0xA300	FileSource	Image source
EXIF	0xA301	SceneType	Scene type
EXIF	0xA302	CFAPattern	Color filter array pattern
EXIF	0xA401	CustomRendered	Custom image processing
EXIF	0xA402	ExposureMode	Exposure mode
EXIF	0xA403	WhiteBalance	White balance mode
EXIF	0xA404	DigitalZoomRatio	Digital zoom ratio
EXIF	0xA405	FocalLengthIn35mmFormat	Equivalent focal length in 35mm film
EXIF	0xA406	SceneCaptureType	Scene capture type
EXIF	0xA407	GainControl	Gain control
EXIF	0xA408	Contrast	Contrast setting
EXIF	0xA409	Saturation	Saturation setting
EXIF	0xA40A	Sharpness	Sharpness setting
EXIF	0xA40C	SubjectDistanceRange	Subject distance range
EXIF	0xA420	ImageUniqueID	Unique image identifier
EXIF	0xA430	CameraOwnerName	Camera owner name
EXIF	0xA431	BodySerialNumber	Camera body serial number
EXIF	0xA432	LensSpecification	Lens specification
EXIF	0xA433	LensMake	Lens manufacturer
EXIF	0xA434	LensModel	Lens model
EXIF	0xA435	LensSerialNumber	Lens serial number
EXIF	0xA500	Gamma	Image gamma
GPS	0x0000	GPSVersionID	GPS metadata version
GPS	0x0001	GPSLatitudeRef	North or south latitude reference
GPS	0x0002	GPSLatitude	Latitude in degrees, minutes, seconds
GPS	0x0003	GPSLongitudeRef	East or west longitude reference
GPS	0x0004	GPSLongitude	Longitude in degrees, minutes, seconds
GPS	0x0005	GPSAltitudeRef	Altitude reference
